id,date,amount,invoice_ref,payee
LED-4b132280,2026-08-12,309026.69,INV-MOCK-10138,Atlassian Pty Ltd
LED-bb283441,2026-07-22,377082.38,INV-MOCK-10219,HubSpot Ireland Ltd
LED-ed74a475,2026-07-17,157355.96,INV-MOCK-10327,Delhivery Logistics Ltd
LED-a8bdf8fb,2026-08-17,84538.91,INV-MOCK-10371,Amazon Web Services India
LED-5138a56f,2026-08-04,155027.74,INV-MOCK-10203,HubSpot Ireland Ltd
LED-61093fa0,2026-08-05,47096.91,INV-MOCK-10167,Google Cloud India Pvt Ltd
LED-3ae19cdc,2026-08-11,220525.45,INV-MOCK-10383,Swiggy Corporate Catering
LED-9e30c1b9,2026-08-16,381119.19,INV-MOCK-10182,Atlassian Pty Ltd
LED-53c2e018,2026-07-28,48871.21,INV-MOCK-10128,Amazon Web Services India
LED-cc65d4a3,2026-07-30,223795.75,INV-MOCK-10166,Delhivery Logistics Ltd
LED-71064130,2026-08-07,90100.14,INV-MOCK-10372,Swiggy Corporate Catering
LED-581b2965,2026-08-08,236789.16,INV-MOCK-10093,Notion Labs Inc
LED-65354144,2026-07-25,440727.53,INV-MOCK-10152,Microsoft Regional Sales
LED-18fb96da,2026-08-01,82571.33,INV-MOCK-10430,Razorpay Software Pvt Ltd
LED-c966c29e,2026-08-02,38414.48,INV-MOCK-10252,Tata Communications Ltd
LED-464deca8,2026-08-17,58908.19,INV-MOCK-10420,HubSpot Ireland Ltd
LED-ae2a21e1,2026-08-06,26021.27,INV-MOCK-10400,Uber for Business Solutions
LED-3e92f825,2026-07-19,57496.17,INV-MOCK-10329,Atlassian Pty Ltd
LED-18d9cda9,2026-07-23,334106.41,INV-MOCK-10305,Stripe India Payments
LED-67e60663,2026-08-16,188574.77,INV-MOCK-10374,Stripe India Payments
LED-8490de88,2026-07-31,307329.63,INV-MOCK-10150,Microsoft Regional Sales
LED-85080fec,2026-08-15,-29787.73,INV-MOCK-10468,HubSpot Ireland Ltd
LED-2df029b3,2026-08-06,97045,INV-MOCK-10103,Zoho Corporation Pvt Ltd
LED-ca9cf8ac,2026-07-27,260349.27,INV-MOCK-10274,Stripe India Payments
LED-7da6dd2b,2026-08-06,210797.35,INV-MOCK-10158,Uber for Business Solutions
LED-1e895234,2026-08-18,286426.25,INV-MOCK-10068,Swiggy Corporate Catering
LED-a1815b97,2026-08-10,226339.21,INV-MOCK-10413,Swiggy Corporate Catering
LED-c5a5dd73,2026-08-11,146981.62,INV-MOCK-10086,Freshworks Technologies
LED-88de9c20,2026-08-11,217179.22,INV-MOCK-10081,Zoho Corporation Pvt Ltd
LED-c5df9e81,2026-07-26,91184.5,INV-MOCK-10412,Delhivery Logistics Ltd
LED-7f9cbf47,2026-08-10,67046.18,INV-MOCK-10421,KPMG India Advisory
LED-cd08da3f,2026-07-26,55769.44,INV-MOCK-10071,Zoho Corporation Pvt Ltd
LED-0c5e86ae,2026-08-09,410217.71,INV-MOCK-10218,Stripe India Payments
LED-8237c23c,2026-07-25,350967.98,INV-MOCK-10092,Delhivery Logistics Ltd
LED-40a85edd,2026-08-04,145930.64,INV-MOCK-10100,Notion Labs Inc
LED-3e51cbfc,2026-07-29,108003.3,INV-MOCK-10230,Atlassian Pty Ltd
LED-c9aa65b2,2026-08-05,142423.37,INV-MOCK-10257,Uber for Business Solutions
LED-68ccb83f,2026-07-26,217888.49,INV-MOCK-10388,Airtel Enterprise Telecom
LED-4f7dc9ce,2026-08-05,214026.79,INV-MOCK-10283,Swiggy Corporate Catering
LED-88d1aed0,2026-08-19,209398.05,INV-MOCK-10404,PwC India Tax Consulting
LED-44a6f4ea,2026-08-11,206223.22,INV-MOCK-10185,Stripe India Payments
LED-b352a6ac,2026-07-25,230629.2,INV-MOCK-10111,Tata Communications Ltd
LED-39616ff1,2026-08-04,193832.94,INV-MOCK-10188,GitHub Enterprise Services
LED-cc5c0b0b,2026-08-15,71590.36,INV-MOCK-10436,Uber for Business Solutions
LED-1c22de1b,2026-08-11,383695.59,INV-MOCK-10264,Amazon Web Services India
LED-44a52d79,2026-08-16,47297.45,INV-MOCK-10263,Google Cloud India Pvt Ltd
LED-95a9d60c,2026-08-03,81382.84,INV-MOCK-10172,WeWork India Management
LED-da82caa4,2026-08-07,303293.37,INV-MOCK-10214,Uber for Business Solutions
LED-61b17df4,2026-08-02,199645.21,INV-MOCK-10164,Swiggy Corporate Catering
LED-956c1f6c,2026-07-22,192332.55,INV-MOCK-10285,Amazon Web Services India
LED-e6bc52da,2026-07-23,40983.6,INV-MOCK-10095,Zoho Corporation Pvt Ltd
LED-87932a49,2026-08-10,59890.23,INV-MOCK-10409,Tata Communications Ltd
LED-671ddde7,2026-08-01,348073.28,INV-MOCK-10199,Atlassian Pty Ltd
LED-843e71ac,2026-08-10,409435.29,INV-MOCK-10250,Tata Communications Ltd
LED-fd074498,2026-08-06,253570.79,INV-MOCK-10243,Freshworks Technologies
LED-8c2d7578,2026-08-04,281685.87,INV-MOCK-10191,HubSpot Ireland Ltd
LED-109771db,2026-08-11,64081.75,INV-MOCK-10262,Uber for Business Solutions
LED-3938be5e,2026-07-26,398180.73,INV-MOCK-10272,Microsoft Regional Sales
LED-1420f47b,2026-08-18,-16219.11,INV-MOCK-10471,Delhivery Logistics Ltd
LED-3fad2e69,2026-08-18,186769.3,INV-MOCK-10306,Microsoft Regional Sales
LED-86c34f02,2026-07-23,6386.61,INV-MOCK-10207,Freshworks Technologies
LED-61de332f,2026-07-24,26891.84,INV-MOCK-10225,GitHub Enterprise Services
LED-376948cb,2026-08-01,9743.37,INV-MOCK-10360,Zoho Corporation Pvt Ltd
LED-5994d392,2026-08-11,355012.96,INV-MOCK-10079,Microsoft Regional Sales
LED-c282e0dd,2026-08-14,276264.87,INV-MOCK-10098,Tata Communications Ltd
LED-f6de73a3,2026-08-03,320878.22,INV-MOCK-10222,Atlassian Pty Ltd
LED-0201a3a9,2026-08-18,239142.81,INV-MOCK-10147,Delhivery Logistics Ltd
LED-00332d8a,2026-08-03,219156.46,INV-MOCK-10109,WeWork India Management
LED-933d4f0d,2026-08-02,108033.58,INV-MOCK-10403,HubSpot Ireland Ltd
LED-25bb6d37,2026-08-13,279674.07,INV-MOCK-10062,Uber for Business Solutions
LED-af4073cf,2026-07-22,421466.89,INV-MOCK-10058,Delhivery Logistics Ltd
LED-5cdba113,2026-08-06,77516.2,INV-MOCK-10394,KPMG India Advisory
LED-74733d7a,2026-08-12,99047.38,INV-MOCK-10343,Delhivery Logistics Ltd
LED-3df04344,2026-08-15,214581.87,INV-MOCK-10189,Microsoft Regional Sales
LED-fd7a4afe,2026-08-16,381202.05,INV-MOCK-10102,Microsoft Regional Sales
LED-50ed6f60,2026-07-22,26494.64,INV-MOCK-10373,Google Cloud India Pvt Ltd
LED-4d585e09,2026-08-18,138858.06,INV-MOCK-10094,Notion Labs Inc
LED-55aff498,2026-08-20,387078.63,INV-MOCK-10112,Notion Labs Inc
LED-ff629a7d,2026-08-09,410964.6,INV-MOCK-10075,Razorpay Software Pvt Ltd
LED-d0c7322f,2026-07-22,79248.86,INV-MOCK-10408,Razorpay Software Pvt Ltd
LED-fef528c4,2026-08-20,418639.09,INV-MOCK-10076,Tata Communications Ltd
LED-a78fdaaa,2026-08-07,68135.09,INV-MOCK-10416,Stripe India Payments
LED-a7be18e0,2026-08-19,140608.79,INV-MOCK-10399,Amazon Web Services India
LED-f601618a,2026-07-20,11376.79,INV-MOCK-10359,KPMG India Advisory
LED-db891698,2026-08-14,213556.85,INV-MOCK-10349,Slack Technologies LLC
LED-cd413bbf,2026-08-19,222791.54,INV-MOCK-10073,PwC India Tax Consulting
LED-c1237732,2026-08-01,170941.87,INV-MOCK-10099,Freshworks Technologies
LED-96f331ca,2026-08-20,173543.14,INV-MOCK-10153,Amazon Web Services India
LED-ace106cf,2026-08-18,73951.58,INV-MOCK-10411,Google Cloud India Pvt Ltd
LED-f7667856,2026-08-02,55082.48,INV-MOCK-10426,HubSpot Ireland Ltd
LED-e8607335,2026-08-12,12099.06,INV-MOCK-10424,Zoho Corporation Pvt Ltd
LED-0edbc748,2026-08-07,72313.12,INV-MOCK-10385,Notion Labs Inc
LED-40a29e97,2026-07-28,179434.58,INV-MOCK-10392,Delhivery Logistics Ltd
LED-7a50e772,2026-08-19,209401.55,INV-MOCK-10389,HubSpot Ireland Ltd
LED-ce38288a,2026-08-08,174837.27,INV-MOCK-10364,WeWork India Management
LED-7b8429a2,2026-08-15,434148.97,INV-MOCK-10089,Stripe India Payments
LED-1bee8475,2026-08-03,277224.34,INV-MOCK-10065,Google Cloud India Pvt Ltd
LED-4562116d,2026-08-13,68956.7,INV-MOCK-10168,Slack Technologies LLC
LED-9fac14df,2026-07-31,-9324.88,INV-MOCK-10466,Microsoft Regional Sales
LED-1ecfb714,2026-08-07,90783.59,INV-MOCK-10133,Airtel Enterprise Telecom
LED-3375d60e,2026-07-22,77588.76,INV-MOCK-10363,GitHub Enterprise Services
LED-de9684f4,2026-08-08,-32994.83,INV-MOCK-10477,Airtel Enterprise Telecom
LED-0f26ca67,2026-07-28,21974.97,INV-MOCK-10170,Zoho Corporation Pvt Ltd
LED-ff8e01df,2026-07-17,134230.25,INV-MOCK-10352,Notion Labs Inc
LED-2dda64c3,2026-08-17,318333.24,INV-MOCK-10106,Freshworks Technologies
LED-ee3f7781,2026-07-29,78741.74,INV-MOCK-10121,Razorpay Software Pvt Ltd
LED-de86c8e5,2026-08-11,157543.64,INV-MOCK-10368,Uber for Business Solutions
LED-ce02b1e0,2026-08-08,181707.87,INV-MOCK-10406,Microsoft Regional Sales
LED-2c9154e0,2026-08-03,213604.77,INV-MOCK-10396,Delhivery Logistics Ltd
LED-a745d515,2026-08-11,-20544.19,INV-MOCK-10469,GitHub Enterprise Services
LED-b49b6caa,2026-08-08,13746.85,INV-MOCK-10417,Microsoft Regional Sales
LED-cebca969,2026-08-08,57554.79,INV-MOCK-10434,Google Cloud India Pvt Ltd
LED-cf7f66aa,2026-08-20,66388.41,INV-MOCK-10108,WeWork India Management
LED-afb5beba,2026-07-28,298704.55,INV-MOCK-10190,Tata Communications Ltd
LED-5db57838,2026-08-16,315316.84,INV-MOCK-10084,Atlassian Pty Ltd
LED-61b16d0f,2026-08-15,53134.55,INV-MOCK-10432,WeWork India Management
LED-4d7a17e4,2026-08-17,416841.59,INV-MOCK-10088,Razorpay Software Pvt Ltd
LED-d5124863,2026-08-13,50376.15,INV-MOCK-10439,Atlassian Pty Ltd
LED-c93d83eb,2026-08-17,-18580.16,INV-MOCK-10472,Delhivery Logistics Ltd
LED-c985b465,2026-07-22,92803.46,INV-MOCK-10369,Razorpay Software Pvt Ltd
LED-757269cf,2026-08-01,427962.02,INV-MOCK-10097,HubSpot Ireland Ltd
LED-32d0eaa3,2026-08-04,74634.46,INV-MOCK-10193,Notion Labs Inc
LED-9c9a551c,2026-08-12,221748.85,INV-MOCK-10155,Amazon Web Services India
LED-88cc4324,2026-08-12,152134.78,INV-MOCK-10136,Notion Labs Inc
LED-c1f305e9,2026-08-14,229654.82,INV-MOCK-10179,Microsoft Regional Sales
LED-7a62c9fd,2026-08-15,424166.05,INV-MOCK-10227,Notion Labs Inc
LED-e9c9e0ea,2026-07-30,55781.23,INV-MOCK-10105,Zoho Corporation Pvt Ltd
LED-c6d336c9,2026-07-28,239723.05,INV-MOCK-10224,Freshworks Technologies
LED-13362ccb,2026-08-02,174110.7,INV-MOCK-10208,Tata Communications Ltd
LED-d73ac2de,2026-08-17,20477.4,INV-MOCK-10197,Amazon Web Services India
LED-57f270ed,2026-07-28,5455.56,INV-MOCK-10077,Freshworks Technologies
LED-de42a7dc,2026-08-08,299544.38,INV-MOCK-10078,Atlassian Pty Ltd
LED-ae6a1b55,2026-08-10,418989.68,INV-MOCK-10160,Slack Technologies LLC
LED-bb242329,2026-08-10,383555.43,INV-MOCK-10107,Amazon Web Services India
LED-19cd060d,2026-08-20,278204.99,INV-MOCK-10113,WeWork India Management
LED-e894eff7,2026-08-10,70937.99,INV-MOCK-10059,HubSpot Ireland Ltd
LED-0f1bf117,2026-08-09,118864.4,INV-MOCK-10072,Airtel Enterprise Telecom
LED-22e421c6,2026-08-17,417515.88,INV-MOCK-10104,Atlassian Pty Ltd
LED-ecb3e44d,2026-08-01,433276.65,INV-MOCK-10063,Airtel Enterprise Telecom
LED-281a2b3c,2026-07-30,197889.77,INV-MOCK-10114,Swiggy Corporate Catering
LED-5371b5ca,2026-08-10,157498.03,INV-MOCK-10055,Freshworks Technologies
LED-03c5f082,2026-08-02,34153.85,INV-MOCK-10080,Google Cloud India Pvt Ltd
